	address_x	coord_x	address_y	coord_y	address	sub
94	Строительная улица, 37, Оленегорск, Мурманская область, Россия	(68.141849, 33.267463)	провинция Газни, Афганистан	(33.130148, 67.817693)	строительная улица,37,оленегорск,мурманская область,россия	['мурманская']
95	улица Калинина, село Солёное, Мостовский район, Краснодарский край, Россия	(44.042666, 40.883209)	Лорийская область, Армения	(40.980441, 44.536864)	улица калинина,село соленое,мостовский район,краснодарский край,россия	['краснодарский']
96	посёлок Большие Леуши, Октябрьский район, Ханты-Мансийский автономный округ, Россия	(62.18422, 67.184874)	городской округ Воркута, Республика Коми, Россия	(67.140272, 63.910605)	городской округ воркута,республика коми,россия	['ханты-мансийский', 'коми']
97	посёлок Комсомольский, Октябрьский район, Ханты-Мансийский автономный округ, Россия	(62.262662, 66.995465)	городской округ Воркута, Республика Коми, Россия	(67.140272, 63.910605)	городской округ воркута,республика коми,россия	['ханты-мансийский', 'коми']
98	Советская улица, 16, посёлок Венцы, сельское поселение Венцы-Заря, Гулькевичский район, Краснодарский край, Россия	(45.375628, 40.831619)	Тавушская область, Армения	(40.906896, 45.218874)	советская улица,16,поселок венцы,сельское поселение венцы-заря,гулькевичский район,краснодарский край,россия	['краснодарский']
99	село Малый Атлым, Октябрьский район, Ханты-Мансийский автономный округ, Россия	(62.227236, 66.964832)	городской округ Воркута, Республика Коми, Россия	(67.140272, 63.910605)	городской округ воркута,республика коми,россия	['ханты-мансийский', 'коми']
100	Снежная улица, 25к4, Нижний Новгород, Россия	(56.281496, 43.914978)	Кунградский район, Республика Каракалпакстан, Узбекистан	(43.531151, 57.312551)	снежная улица,25к4,нижний новгород,россия	['нижегородская']
101	улица Глеба Успенского, 17, Нижний Новгород, Россия	(56.268666, 43.927959)	Кунградский район, Республика Каракалпакстан, Узбекистан	(43.531151, 57.312551)	улица глеба успенского,17,нижний новгород,россия	['нижегородская']
102	проспект Ленина, 91, Нижний Новгород, Россия	(56.264142, 43.90781)	Кунградский район, Республика Каракалпакстан, Узбекистан	(43.531151, 57.312551)	проспект ленина,91,нижний новгород,россия	['нижегородская']
103	Юбилейная улица, 15, поселок городского типа Белогорск, Тисульский район, Кемеровская область, Россия	(55.020249, 88.489329)			юбилейная улица,15,поселок городского типа белогорск,тисульский район,кемеровская область,россия	['кемеровская']
104	улица Луначарского, 138, Славгород, Алтайский край, Россия	(52.995966, 78.650647)	Баренцево море	(75.442984, 41.682099)	улица луначарского,138,славгород,алтайский край,россия	['алтайский']
